"DateTime","2023","2024","2025"
"1970-10-11 23:00:00",23.32,,475.84
"1970-10-12 23:00:00",24.32,,929.29
"1970-10-13 23:00:00",11.16,50.09,962.4
"1970-10-14 23:00:00",7.52,850.33,851.64
"1970-10-15 23:00:00",24.32,767.56,980.32
"1970-10-16 23:00:00",19.56,866.13,822.97
"1970-10-17 23:00:00",18.68,862.15,539.07
"1970-10-18 23:00:00",11.27,796.98,
"1970-10-19 23:00:00",37.03,727.5,
"1970-10-20 23:00:00",3.76,67.89,879.48
"1970-10-21 23:00:00",3.76,10.4,930.06
"1970-10-22 23:00:00",15.92,829.46,921.96
"1970-10-23 23:00:00",6.52,826.71,679.09
"1970-10-24 23:00:00",19.68,806.81,
"1970-10-25 23:00:00",5.64,864.58,
"1970-10-26 23:00:00",9.28,552.81,
"1970-10-27 23:00:00",1.88,622.63,
"1970-10-28 23:00:00",,828.61,781.01
"1970-10-29 23:00:00",,220.03,856.17
"1970-10-30 23:00:00",5.64,378.06,868.88
"1970-10-31 23:00:00",8.4,776.13,464.6
"1970-11-01 23:00:00",3.76,889.04,1501.51
"1970-11-02 23:00:00",18.68,497.52,
"1970-11-03 00:00:00",,,732.1
"1970-11-03 23:00:00",3.76,,
"1970-11-04 00:00:00",,,823.89
"1970-11-04 23:00:00",1.88,,
"1970-11-05 00:00:00",,,841.13
"1970-11-06 00:00:00",14.92,290.14,742
"1970-11-07 00:00:00",13.15,905.63,751.94
"1970-11-08 00:00:00",16.91,918.05,581.7
"1970-11-09 00:00:00",23.44,1017.51,
"1970-11-10 00:00:00",1.88,654.51,818.45
"1970-11-11 00:00:00",3.76,599.24,785.89
"1970-11-12 00:00:00",15.03,630.54,922.52
"1970-11-13 00:00:00",18.79,717.4,804.65
"1970-11-14 00:00:00",26.2,747.2,713.97
"1970-11-15 00:00:00",5.64,886.37,668.51
"1970-11-16 00:00:00",45.02,845.57,512.13
"1970-11-17 00:00:00",15.92,716.63,927.36
"1970-11-18 00:00:00",17.79,565.8,836.19
"1970-11-19 00:00:00",1.88,755.25,787.02
"1970-11-20 00:00:00",1.88,658.04,1047.36
"1970-11-21 00:00:00",13.15,704.37,876.51
"1970-11-22 00:00:00",1.88,989.47,575.41
"1970-11-23 00:00:00",1.88,776.17,569.94
"1970-11-24 00:00:00",10.28,707.38,786.95
"1970-11-25 00:00:00",11.27,495.4,766.17
"1970-11-26 00:00:00",3.76,758.73,588.12
"1970-11-27 00:00:00",13.04,901.01,345.53
"1970-11-28 00:00:00",7.52,755,486.57
"1970-11-29 00:00:00",,458.15,629.26
"1970-11-30 00:00:00",17.79,683,661.31
"1970-12-01 00:00:00",8.4,502.82,740.55
"1970-12-02 00:00:00",7.52,659.02,664.39
"1970-12-03 00:00:00",1.88,731.82,659.32
"1970-12-04 00:00:00",4.64,786.29,742.05
"1970-12-05 00:00:00",,304.47,893.35
"1970-12-06 00:00:00",,802.42,632.87
"1970-12-07 00:00:00",1.88,782.76,624.63
"1970-12-08 00:00:00",10.28,576.14,720.36
"1970-12-09 00:00:00",7.52,645.73,782.5
"1970-12-10 00:00:00",1.88,862.52,956.57
"1970-12-11 00:00:00",4.64,804.7,1002.41
"1970-12-12 00:00:00",5.64,807.53,864.1
"1970-12-13 00:00:00",1.88,705.64,847.98
"1970-12-14 00:00:00",10.28,615.63,759.72
"1970-12-15 00:00:00",5.64,604.63,802.95
"1970-12-16 00:00:00",3.76,609.05,
"1970-12-17 00:00:00",1.88,729.32,
"1970-12-18 00:00:00",2.76,518.13,
"1970-12-19 00:00:00",11.17,785.04,
"1970-12-20 00:00:00",16.8,761.9,
"1970-12-21 00:00:00",3.76,754.73,
"1970-12-22 00:00:00",7.52,674.2,
"1970-12-23 00:00:00",15.48,492.19,
"1970-12-24 00:00:00",1.88,841.97,
"1970-12-25 00:00:00",,583.21,
"1970-12-26 00:00:00",5.64,299.24,
"1970-12-27 00:00:00",,633.02,
"1970-12-28 00:00:00",7.52,606.98,
"1970-12-29 00:00:00",10.28,602.09,
"1970-12-30 00:00:00",3.76,555.19,
"1970-12-31 00:00:00",8.4,651.26,
"1971-01-01 00:00:00",,808.44,
